iter	Passed	Remaining
0	175	17386
1	186	9157
2	201	6524
3	215	5183
4	227	4326
5	245	3851
6	260	3463
7	275	3170
8	290	2940
9	321	2897
10	345	2798
11	377	2769
12	389	2604
13	412	2536
14	430	2440
15	448	2353
16	466	2276
17	483	2202
18	502	2142
19	519	2079
20	535	2014
21	553	1960
22	571	1913
23	585	1854
24	596	1790
25	608	1732
26	623	1684
27	638	1641
28	651	1594
29	662	1546
30	671	1495
31	686	1457
32	698	1417
33	709	1377
34	721	1339
35	742	1320
36	768	1309
37	793	1294
38	821	1284
39	849	1274
40	873	1257
41	901	1244
42	925	1226
43	950	1210
44	969	1184
45	982	1153
46	994	1121
47	1008	1092
48	1021	1062
49	1032	1032
50	1047	1006
51	1063	981
52	1077	955
53	1092	930
54	1106	905
55	1141	897
56	1162	877
57	1180	855
58	1194	829
59	1206	804
60	1219	779
61	1229	753
62	1240	728
63	1251	703
64	1261	679
65	1272	655
66	1282	631
67	1293	608
68	1305	586
69	1318	565
70	1331	544
71	1346	523
72	1360	503
73	1374	483
74	1388	462
75	1402	442
76	1415	422
77	1431	403
78	1445	384
79	1458	364
80	1471	345
81	1485	326
82	1497	306
83	1509	287
84	1521	268
85	1534	249
86	1544	230
87	1554	212
88	1565	193
89	1575	175
90	1593	157
91	1616	140
92	1637	123
93	1652	105
94	1665	87
95	1676	69
96	1688	52
97	1699	34
98	1710	17
99	1720	0
